model_num,rnn_style,emb_units,rnn_units,drop_rate,l_rate,replication,accuracy
4.0,lstm,128.0,600.0,0.8,0.001,1.0,0.3710368573665619
4.0,lstm,96.0,100.0,0.6,0.001,2.0,0.3913167715072632
4.0,lstm,32.0,600.0,0.8,0.001,2.0,0.35932591557502747
4.0,lstm,128.0,200.0,0.6,0.001,2.0,0.35875463485717773
4.0,lstm,128.0,600.0,0.6,0.001,2.0,0.3096258342266083
4.0,lstm,64.0,100.0,0.6,0.001,1.0,0.3747500777244568
4.0,lstm,128.0,300.0,0.6,0.001,2.0,0.3233361840248108
4.0,lstm,96.0,400.0,0.6,0.001,2.0,0.3233361840248108
4.0,lstm,32.0,100.0,0.6,0.001,1.0,0.3896029591560364
4.0,lstm,128.0,200.0,0.6,0.001,1.0,0.37160810828208923
4.0,lstm,96.0,600.0,0.8,0.001,2.0,0.37132248282432556
4.0,lstm,96.0,500.0,0.8,0.001,2.0,0.3710368573665619
4.0,lstm,96.0,200.0,0.8,0.001,2.0,0.3976006805896759
4.0,lstm,64.0,300.0,0.6,0.001,2.0,0.32447871565818787
4.0,lstm,128.0,200.0,0.8,0.001,1.0,0.3950299918651581
4.0,lstm,96.0,400.0,0.6,0.001,1.0,0.3284775912761688
4.0,lstm,128.0,100.0,0.8,0.001,1.0,0.38074836134910583
4.0,lstm,64.0,200.0,0.8,0.001,1.0,0.3904598653316498
4.0,lstm,64.0,100.0,0.8,0.001,1.0,0.3736075460910797
4.0,lstm,32.0,300.0,0.8,0.001,2.0,0.3664667308330536
4.0,lstm,96.0,600.0,0.6,0.001,2.0,0.2739217281341553
4.0,lstm,64.0,300.0,0.8,0.001,2.0,0.3744644522666931
4.0,lstm,64.0,600.0,0.6,0.001,1.0,0.28791773319244385
4.0,lstm,64.0,100.0,0.8,0.001,2.0,0.3858897387981415
4.0,lstm,128.0,300.0,0.8,0.001,1.0,0.38531848788261414
4.0,lstm,64.0,600.0,0.6,0.001,2.0,0.2899171710014343
4.0,lstm,96.0,500.0,0.6,0.001,1.0,0.27049413323402405
