model_num,rnn_style,emb_units,rnn_units,drop_rate,l_rate,replication,accuracy
1.0,lstm,64.0,200.0,0.6,0.001,1.0,0.26853060722351074
1.0,lstm,96.0,200.0,0.8,0.001,1.0,0.31974565982818604
1.0,lstm,32.0,500.0,0.6,0.001,1.0,0.27610835433006287
1.0,lstm,128.0,200.0,0.6,0.001,2.0,0.3025868833065033
1.0,lstm,128.0,100.0,0.8,0.001,1.0,0.3200940787792206
1.0,lstm,64.0,500.0,0.8,0.001,2.0,0.3106001317501068
1.0,lstm,128.0,600.0,0.6,0.001,2.0,0.25285252928733826
1.0,lstm,96.0,100.0,0.8,0.001,1.0,0.31957146525382996
1.0,lstm,32.0,500.0,0.8,0.001,1.0,0.2982318699359894
1.0,lstm,32.0,200.0,0.8,0.001,1.0,0.29518336057662964
1.0,lstm,128.0,100.0,0.6,0.001,1.0,0.30746451020240784
1.0,lstm,64.0,600.0,0.8,0.001,1.0,0.2869088053703308
1.0,lstm,32.0,400.0,0.8,0.001,1.0,0.2993641793727875
1.0,lstm,32.0,100.0,0.8,0.001,2.0,0.293702632188797
1.0,lstm,96.0,600.0,0.8,0.001,1.0,0.2973608672618866
1.0,lstm,64.0,300.0,0.8,0.001,1.0,0.31617453694343567
1.0,lstm,32.0,300.0,0.6,0.001,1.0,0.27062103152275085
2.0,lstm,32.0,500.0,0.8,0.001,2.0,0.3101646304130554
2.0,lstm,128.0,200.0,0.8,0.001,2.0,0.33847224712371826
2.0,lstm,32.0,100.0,0.8,0.001,2.0,0.3126034438610077
2.0,lstm,64.0,200.0,0.6,0.001,1.0,0.3052870035171509
3.0,lstm,32.0,500.0,0.6,0.001,1.0,0.2661789059638977
3.0,lstm,96.0,100.0,0.8,0.001,1.0,0.3278460204601288
3.0,lstm,96.0,600.0,0.6,0.001,1.0,0.2802891731262207
2.0,lstm,64.0,100.0,0.8,0.001,2.0,0.3240135908126831
3.0,lstm,64.0,200.0,0.6,0.001,1.0,0.3107743263244629
2.0,lstm,128.0,100.0,0.6,0.001,2.0,0.331504225730896
2.0,lstm,96.0,400.0,0.8,0.001,1.0,0.32410067319869995
3.0,lstm,32.0,500.0,0.8,0.001,1.0,0.31225502490997314
2.0,lstm,64.0,400.0,0.8,0.001,2.0,0.3213134706020355
2.0,lstm,96.0,200.0,0.8,0.001,1.0,0.32436197996139526
2.0,lstm,64.0,200.0,0.6,0.001,2.0,0.3121679425239563
2.0,lstm,32.0,300.0,0.6,0.001,2.0,0.28133437037467957
3.0,lstm,96.0,100.0,0.6,0.001,1.0,0.33141711354255676
3.0,lstm,128.0,400.0,0.6,0.001,1.0,0.2671370208263397
2.0,lstm,128.0,200.0,0.6,0.001,2.0,0.30180299282073975
3.0,lstm,128.0,300.0,0.6,0.001,1.0,0.2928316295146942
2.0,lstm,32.0,200.0,0.8,0.001,2.0,0.3237522840499878
2.0,lstm,128.0,100.0,0.8,0.001,1.0,0.3294138014316559
2.0,lstm,64.0,500.0,0.6,0.001,2.0,0.2593850791454315
3.0,lstm,96.0,600.0,0.6,0.001,2.0,0.24597160518169403
2.0,lstm,32.0,500.0,0.6,0.001,1.0,0.2670499086380005
2.0,lstm,64.0,500.0,0.6,0.001,1.0,0.2575559616088867
3.0,lstm,128.0,100.0,0.8,0.001,2.0,0.326016902923584
3.0,lstm,64.0,600.0,0.8,0.001,1.0,0.3066805899143219
3.0,lstm,64.0,500.0,0.8,0.001,2.0,0.3155648410320282
3.0,lstm,96.0,300.0,0.8,0.001,1.0,0.32819440960884094
2.0,lstm,128.0,400.0,0.8,0.001,1.0,0.3168713450431824
3.0,lstm,96.0,600.0,0.8,0.001,2.0,0.32044246792793274
2.0,lstm,128.0,500.0,0.8,0.001,2.0,0.3105130195617676
2.0,lstm,128.0,500.0,0.6,0.001,1.0,0.26173678040504456
3.0,lstm,32.0,400.0,0.8,0.001,1.0,0.30572250485420227
3.0,lstm,128.0,600.0,0.8,0.001,2.0,0.3035449981689453
3.0,lstm,96.0,100.0,0.8,0.001,2.0,0.3258427083492279
3.0,lstm,128.0,200.0,0.6,0.001,1.0,0.30676770210266113
2.0,lstm,128.0,500.0,0.8,0.001,1.0,0.30502569675445557
3.0,lstm,128.0,200.0,0.6,0.001,2.0,0.3019771873950958
2.0,lstm,32.0,100.0,0.6,0.001,1.0,0.3224457800388336
3.0,lstm,96.0,500.0,0.6,0.001,2.0,0.2702726125717163
2.0,lstm,32.0,300.0,0.8,0.001,1.0,0.32000696659088135
3.0,lstm,64.0,400.0,0.6,0.001,1.0,0.25990766286849976
2.0,lstm,96.0,100.0,0.6,0.001,2.0,0.3358592391014099
3.0,lstm,64.0,200.0,0.6,0.001,2.0,0.3059838116168976
