model;n_padded;k;style;replication;mrr;hit;coverage
8;32;5;lstm;1;0.20282825171953606;0.2534647366800123;0.2294478527607362
8;32;5;lstm;2;0.19233138281490617;0.23714197720973207;0.236579754601227
8;32;5;lstm;3;0.18493481162098344;0.2322143517092701;0.21541411042944786
8;32;5;lstm;4;0.19139718714711026;0.24360948567908838;0.23351226993865032
8;32;5;lstm;5;0.18274817780515357;0.22821065599014476;0.21403374233128836
8;32;5;lstm;6;0.1844369161277076;0.23467816445950107;0.2205521472392638
8;32;5;lstm;7;0.20874140232009053;0.25562057283646444;0.21894171779141106
8;32;5;lstm;8;0.20027204599117154;0.24976901755466585;0.21886503067484664
8;32;5;lstm;9;0.1983574581665128;0.24391746227286726;0.22707055214723926
8;32;5;lstm;10;0.2018632583923624;0.25315676008623345;0.2245398773006135
